date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:47:16	99/99	---MC-	302	error ('Found')	text/html	date:Sun,%2017%20Nov%202019%2002:43:11%20GMT	https://susan-demo.myshopify.com/?preview_theme_id=76616335434	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/indexc72c.html	(from https://susan-demo.myshopify.com/)
10:47:16	99/99	---MC-	302	error ('Found')	text/html	date:Sun,%2017%20Nov%202019%2002:43:12%20GMT	https://susan-demo.myshopify.com/?preview_theme_id=77276315722	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/indexeeaa.html	(from https://susan-demo.myshopify.com/)
10:47:16	99/99	---MC-	302	error ('Found')	text/html	date:Sun,%2017%20Nov%202019%2002:43:12%20GMT	https://susan-demo.myshopify.com/?preview_theme_id=77394051146	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/index7480.html	(from https://susan-demo.myshopify.com/)
10:47:18	161276/161276	---MCZ	200	added ('OK')	text/html	etag:cacheable:b4cea4e913fed5f48bf66f951a4bf162	https://susan-demo.myshopify.com/collections/all	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/collections/all.html	(from https://susan-demo.myshopify.com/)
10:47:20	99/99	---MC-	302	error ('Found')	text/html	date:Sun,%2017%20Nov%202019%2002:43:13%20GMT	https://susan-demo.myshopify.com/?preview_theme_id=77394247754	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/index4f18.html	(from https://susan-demo.myshopify.com/)
10:47:21	99/99	---MC-	302	error ('Found')	text/html	date:Sun,%2017%20Nov%202019%2002:43:17%20GMT	https://susan-demo.myshopify.com/?preview_theme_id=77394542666	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/indexa480.html	(from https://susan-demo.myshopify.com/)
10:47:21	99/99	---MC-	302	error ('Found')	text/html	date:Sun,%2017%20Nov%202019%2002:43:17%20GMT	https://susan-demo.myshopify.com/?preview_theme_id=77394804810	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/index0e95.html	(from https://susan-demo.myshopify.com/)
10:47:24	152794/152794	---MCZ	200	added ('OK')	text/html	etag:cacheable:64045cae533077fdd331769bfe9566ee	https://susan-demo.myshopify.com/products/1-new-and-sale-badge-product	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/products/1-new-and-sale-badge-product.html	(from https://susan-demo.myshopify.com/)
10:47:32	130157/130157	---MCZ	200	added ('OK')	text/html	etag:cacheable:52b0e3850bd479cfadcf1f77a18e8589	https://susan-demo.myshopify.com/products/11-product-with-video	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/products/11-product-with-video.html	(from https://susan-demo.myshopify.com/)
10:47:37	135141/135141	---MCZ	200	added ('OK')	text/html	etag:cacheable:4ecf74daa6b1691d5f759f5c136c866c	https://susan-demo.myshopify.com/products/8-countdown-product	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/products/8-countdown-product.html	(from https://susan-demo.myshopify.com/)
